code,en_name,jp_kanji,jp_kana
010006,hokkaido,北海道,ﾎｯｶｲﾄﾞｳ
020001,aomori,青森県,ｱｵﾓﾘｹﾝ
030007,iwate,岩手県,ｲﾜﾃｹﾝ
040002,miyagi,宮城県,ﾐﾔｷﾞｹﾝ
050008,akita,秋田県,ｱｷﾀｹﾝ
060003,yamagata,山形県,ﾔﾏｶﾞﾀｹﾝ
070009,fukushima,福島県,ﾌｸｼﾏｹﾝ
080004,ibaraki,茨城県,ｲﾊﾞﾗｷｹﾝ
090000,tochigi,栃木県,ﾄﾁｷﾞｹﾝ
100005,gunma,群馬県,ｸﾞﾝﾏｹﾝ
110001,saitama,埼玉県,ｻｲﾀﾏｹﾝ
120006,chiba,千葉県,ﾁﾊﾞｹﾝ
130001,tokyo,東京都,ﾄｳｷｮｳﾄ
140007,kanagawa,神奈川県,ｶﾅｶﾞﾜｹﾝ
150002,niigata,新潟県,ﾆｲｶﾞﾀｹﾝ
160008,toyama,富山県,ﾄﾔﾏｹﾝ
170003,ishikawa,石川県,ｲｼｶﾜｹﾝ
180009,fukui,福井県,ﾌｸｲｹﾝ
190004,yamanashi,山梨県,ﾔﾏﾅｼｹﾝ
200000,nagano,長野県,ﾅｶﾞﾉｹﾝ
210005,gifu,岐阜県,ｷﾞﾌｹﾝ
220001,shizuoka,静岡県,ｼｽﾞｵｶｹﾝ
230006,aichi,愛知県,ｱｲﾁｹﾝ
240001,mie,三重県,ﾐｴｹﾝ
250007,shiga,滋賀県,ｼｶﾞｹﾝ
260002,kyoto,京都府,ｷｮｳﾄﾌ
270008,osaka,大阪府,ｵｵｻｶﾌ
280003,hyogo,兵庫県,ﾋｮｳｺﾞｹﾝ
290009,nara,奈良県,ﾅﾗｹﾝ
300004,wakayama,和歌山県,ﾜｶﾔﾏｹﾝ
310000,tottori,鳥取県,ﾄｯﾄﾘｹﾝ
320005,shimane,島根県,ｼﾏﾈｹﾝ
330001,okayama,岡山県,ｵｶﾔﾏｹﾝ
340006,hiroshima,広島県,ﾋﾛｼﾏｹﾝ
350001,yamaguchi,山口県,ﾔﾏｸﾞﾁｹﾝ
360007,tokushima,徳島県,ﾄｸｼﾏｹﾝ
370002,kagawa,香川県,ｶｶﾞﾜｹﾝ
380008,ehime,愛媛県,ｴﾋﾒｹﾝ
390003,kochi,高知県,ｺｳﾁｹﾝ
400009,fukuoka,福岡県,ﾌｸｵｶｹﾝ
410004,saga,佐賀県,ｻｶﾞｹﾝ
420000,nagasaki,長崎県,ﾅｶﾞｻｷｹﾝ
430005,kumamoto,熊本県,ｸﾏﾓﾄｹﾝ
440001,oita,大分県,ｵｵｲﾀｹﾝ
450006,miyazaki,宮崎県,ﾐﾔｻﾞｷｹﾝ
460001,kagoshima,鹿児島県,ｶｺﾞｼﾏｹﾝ
470007,okinawa,沖縄県,ｵｷﾅﾜｹﾝ
